"country","a5 IV unweighted(threshold 1e-06)","a5 IV weighted by p31(threshold 1e-06)","a5 IV weighted by distance(threshold 1e-06)","a5 IV weighted by distance and p31(threshold 1e-06)","a5 IV unweighted(threshold 50)","a5 IV weighted by p31(threshold 50)","a5 IV weighted by distance(threshold 50)","a5 IV weighted by distance and p31(threshold 50)","a5 IV unweighted(threshold 100)","a5 IV weighted by p31(threshold 100)","a5 IV weighted by distance(threshold 100)","a5 IV weighted by distance and p31(threshold 100)"
"Czech Rep.",2.06782537642976,2.11662033898919,2.06782537457731,2.1166203389888,2.06782537642976,2.11662033898919,2.06782537642976,2.1166203389888,1.99864124726381,2.04780748778343,2.05802240136112,2.15873356750309
"Denmark",,,,,2.45701537064286,2.56369078127655,2.5008159350738,2.85034680836359,2.45701537064286,2.56369078127655,2.47540436950531,2.85034680836359
"Dom. Rep.",,,,,,,,,,,,
"Ecuador",2.1217851622,2.18137848575945,2.1217851622,2.18137848575945,2.1217851622,2.18137848575945,2.1217851622,2.18137848575945,2.1217851622,2.18137848575945,2.1217851622,2.18137848575945
"Egypt",1.50644120911111,1.52558107744866,1.50644120911111,1.52558107744866,1.50644120911111,1.52558107744866,1.50644120911111,1.52558107744866,1.50644120911111,1.52558107744866,1.50644120911111,1.52558107744866
"El Salvador",1.83712122275,1.92556281386374,1.83712122275,1.92556281386374,1.86919192094444,1.93121749855146,1.84766571079842,1.92558522854277,1.86919192094444,1.93121749855146,1.85997537754065,1.92558522854277
"Estonia",1.7369262725625,1.55119639605642,1.73692691232617,1.55119639605864,1.7369262725625,1.55119639605642,1.73692627256251,1.55119639605864,1.90738180283333,1.79168294923029,1.88883010250032,1.86647649460475
"Finland",2.2618850705,2.15301370210346,2.26188493018426,2.15301370210147,2.2618850705,2.15301370210346,2.2618850705,2.15301370210147,2.14565321583333,2.02795523657772,2.08861408378679,1.85635323368833
"France",2.07798511036651,2.01579978168311,2.07798485140413,2.01579978167998,2.25850611136098,2.19969025791959,2.33585315322957,2.30680239005713,2.14498936454751,2.10734553011842,2.12365608796266,2.01965444892019
"Georgia",1.67996249882143,1.44893195231193,1.67996249882143,1.44893195231193,1.67996249882143,1.44893195231193,1.67996249882143,1.44893195231193,1.67996249882143,1.44893195231193,1.67996249882143,1.44893195231193
"Germany",1.9940144119881,1.99938677963684,1.99401462643977,1.99938677963865,2.06659950060957,2.08388008602825,2.11633419143981,2.14211463325016,2.08484817514861,2.10281945570729,2.09280345966576,2.11525562241737
"Ghana",,,,,2.1564285754,2.05265390708703,2.1564285754,2.05265390708703,2.1564285754,2.05265390708703,2.1564285754,2.05265390708703
"Greece",1.26733583214286,1.29264635938514,1.26733583214286,1.29264635938514,1.26733583214286,1.29264635938514,1.26733583214286,1.29264635938514,1.26733583214286,1.29264635938514,1.26733583214286,1.29264635938514
"Guatemala",1.81015597183333,1.92454012343621,1.81015597183333,1.92454012343621,1.81015597183333,1.92454012343621,1.81015597183333,1.92454012343621,1.81015597183333,1.92454012343621,1.81015597183333,1.92454012343621
"Honduras",1.57638887177778,1.62022154168937,1.57638887177778,1.62022154168937,1.57638887177778,1.62022154168937,1.57638887177778,1.62022154168937,1.57638887177778,1.62022154168937,1.57638887177778,1.62022154168937
"Hungary",1.79294424259167,1.81916915231067,1.79294424259167,1.81916915231067,1.80676443383194,1.7926783261391,1.80959723657746,1.82376123304068,1.85970854665312,1.841655498933,1.74340716565347,1.6825378735286
"India",1.61600495870833,1.5479771074442,1.61600495870833,1.5479771074442,1.61600495870833,1.5479771074442,1.61600495870833,1.5479771074442,1.61600495870833,1.5479771074442,1.61600495870833,1.5479771074442
"Indonesia",1.3540875198,1.34817337118124,1.3540875198,1.34817337118124,1.3540875198,1.34817337118124,1.3540875198,1.34817337118124,1.3540875198,1.34817337118124,1.3540875198,1.34817337118124
"Ireland",3.16111111633333,3.119142639102,3.16111111633333,3.119142639102,3.16111111633333,3.119142639102,3.16111111633333,3.119142639102,3.16111111633333,3.119142639102,3.16111111633333,3.119142639102
"Israel",1.23465608161667,1.27356255829758,1.23465591514189,1.27356255829454,1.23465608161667,1.27356255829758,1.23465608161666,1.27356255829454,1.23465608161667,1.27356255829758,1.23465608161666,1.27356255829454
"Italy",2.23438711130625,2.22873937063437,2.23438709036143,2.22873937063376,2.16819250585179,2.18155842422435,2.16741512105879,2.19139836073978,2.00130786215867,2.01276436362087,1.95442902436149,1.92321617148165
"Jamaica",,,,,,,,,,,,
"Japan",,,,,1.9984737635,1.64165381608163,1.9984737635,1.64165381608163,1.54368132341667,1.38433225042227,1.47606454609034,1.13063703951666
"Kenya",1.38055555033333,1.56310599312564,1.38055555033333,1.56310599312564,1.38055555033333,1.56310599312564,1.38055555033333,1.56310599312564,1.38055555033333,1.56310599312564,1.38055555033333,1.56310599312564
"Latvia",1.83079005611111,1.67231021876345,1.83079010065257,1.67231021876371,1.83079005611111,1.67231021876345,1.83079005611111,1.67231021876371,1.83079005611111,1.67231021876345,1.83079005611111,1.67231021876371
"Lebanon",1.50644120911111,1.52558107744866,1.50644120911111,1.52558107744866,1.50644120911111,1.52558107744866,1.50644120911111,1.52558107744866,1.50644120911111,1.52558107744866,1.50644120911111,1.52558107744866
"Lithuania",1.7369262725625,1.55119639605642,1.73692756810208,1.5511963960609,1.70149064398611,1.56856585239586,1.71680033891696,1.62164231747631,1.70149064398611,1.56856585239586,1.70889482834487,1.62164231747631
"Macedonia",1.27993488647619,1.38415537905948,1.27993488647619,1.38415537905948,1.27993488647619,1.38415537905948,1.27993488647619,1.38415537905948,1.27993488647619,1.38415537905948,1.27993488647619,1.38415537905948
"Malaysia",1.92872601742857,1.89231639073856,1.92872589796669,1.89231639073797,1.92872601742857,1.89231639073856,1.92872601742857,1.89231639073797,1.76663745014286,1.70259740900672,1.84309786547824,1.89182064445532
"Mali",1.7106060506,1.54591227735063,1.7106060506,1.54591227735063,1.7106060506,1.54591227735063,1.7106060506,1.54591227735063,1.7106060506,1.54591227735063,1.7106060506,1.54591227735063
"Mauritius",,,,,,,,,,,,
"Mexico",2.354166661,2.44266707390292,2.354166661,2.44266707390292,2.354166661,2.44266707390292,2.354166661,2.44266707390292,2.354166661,2.44266707390292,2.354166661,2.44266707390292
